1.46351,103.76498
1.45429,103.75820
1.45676,103.74807
1.45939,103.73808
1.46280,103.73158
1.47345,103.72488
1.48887,103.71245
1.49254,103.70710
1.49677,103.70126
1.49906,103.69806
1.50096,103.69541
1.50821,103.68937
1.51633,103.68378
1.52297,103.67909
1.52816,103.67053
1.53501,103.66479
1.53656,103.66347
1.53966,103.66055
1.54486,103.65736
1.55409,103.65862
1.59056,103.64780
1.59567,103.64548
1.59896,103.64520
1.60570,103.64769
1.61306,103.64720
1.62057,103.64567
1.62946,103.63700
1.63262,103.63349
1.63345,103.63258
1.63545,103.63007
1.63944,103.62481
1.64553,103.61580
1.64754,103.61370
1.65127,103.61095
1.65424,103.60955
1.66087,103.60420
1.66246,103.59888
1.66464,103.59547
1.66674,103.59120
1.66815,103.58799
1.66865,103.58031
1.66285,103.57760
1.65847,103.57851
1.65364,103.58227
1.65090,103.58009
1.65133,103.57813
1.65399,103.57570
1.65545,103.57218
